car_model,price,year_model,kms,color,fueltype
Suzuki Gixxer 150sf 2021,$8.000.000,2021,32.411,Negro,Gasolina
Gixxer 155fi Abs 100km Y Full De Lujos Y Accesorios,$10.999.999,2023,110,Negro,Gasolina
Suzuki Gixxer,$14.500.000,2023,10.900,Negro,Gasolina
 ,0,0,0,,
Suzuki Gixxer 250 2023 Full Negro Mate,$15.500.000,2023,42.000,Negro,Gasolina
Suzuki Gixxer 250cc,$13.800.000,2023,13.900,Negro,Gasolina
Gixxer 150 Fi,$10.000.000,2024,6.440,Negro,Gasolina
Gixxer Modelo 2021,$11.000.000,2021,35.000,Negro,Fuel type not found
Suzuki Gixxer Sf 150 Fi Abs,$10.600.000,2024,700,Negro,Gasolina
Suzuki 2024,$14.000.000,2024,10.100,Color not found,Fuel type not found
Suzuki Gixxer 250,$13.000.000,2023,29.000,Negro,Gasolina
Suzuki Gixxer Sf 250 2023,$13.500.000,2023,21.950,Negro,Gasolina y gas
Suzuki Gixxer Sf Fi 155 2018 Mas Accesorios,$7.500.000,2018,350,Negro,Gasolina
Suzuki Gixxer,$9.500.000,2023,34.000,Negro,Gasolina
Suzuki Gixxer Sf 150 Abs,$11.500.000,2024,7.800,Negro,Gasolina y gas
Gixxer,$8.200.000,2022,23.000,Azul,Gasolina
Suzuki 2020,$12.000.000,2020,38.000,Color not found,Fuel type not found
Suzuki  2024,$10.400.000,2023,8.000,Color not found,Fuel type not found
Suzuki Gixxer 250 2022,$12.800.000,2022,32.150,Negro,Gasolina
 ,0,0,0,,
Suzuki Gixxer 250 2023,$12.000.000,2023,16.500,Azul,Gasolina
Gixxer Fi Abs,$10.000.000,2025,6.000,Negro,Gasolina
 ,0,0,0,,
Zuzuki Gixxer 250,$13.700.000,2023,7.930,Negro,Gasolina
"Gixxer 250, 2022",$13.000.000,2022,6.670,Azul,Gasolina
 ,0,0,0,,
 ,0,0,0,,
Suzuki Gixxer 250 Mod 2023,$14.000.000,2023,10.100,Negro,Gasolina
 ,0,0,0,,
 ,0,0,0,,
Suzuki,$11.500.000,2021,30.000,Negro,Gasolina
Suzuki Gixxer 250 Modelo 2022,$11.400.000,2022,45.000,Azul,Gasolina
Suzuki Gixer 2019,$5.500.000,2019,64.000,Color not found,Fuel type not found
Suzuki Sf 250,$11.200.000,2020,32.000,Color not found,Fuel type not found
Suzuki Gixxer 250,$12.000.000,2022,16.000,Color not found,Fuel type not found
Suzuki Gixxer Sf 250 - 2020,$11.900.000,2020,12.700,Azul,Gasolina
 ,0,0,0,,
Suzuki Gixxer Naked,$11.099.999,2022,32.000,Negro,Gasolina
Suzuki Gixxer 250 Mod 2020,$10.500.000,2020,31,Negro,Gasolina
Gixxer 250 2020,$11.000.000,2020,18.605,Negro,Gasolina
Suzuki Gixxer Sf250,$12.000.000,2021,34.700,Azul,Gasolina
Suzuki Gixxer 150 - 2022,$9.500.000,2022,17.500,Gris,Gasolina
Suzuki Gixxer 250cc Modelo 2023,$12.000.000,2023,27.000,Negro,Gasolina
Suzuki Gixxer Sf 250,$14.000.000,2024,24.000,Azul,Gasolina
 ,0,0,0,,
Gixxer 150sf,$5.000.000,2017,52.000,Azul,Gasolina
 ,0,0,0,,
Suzuki Gixxer,$7.200.000,2018,50.000,Negro,Gasolina
Suzuki Gixxer 250,$10.500.000,2021,21.000,Negro,Gasolina
Suzuki  2023,$13.500.000,2023,20.800,Color not found,Fuel type not found
Suzuki Gixxer 250,$11.300.000,2023,30.000,Azul,Gasolina
Suzuki 2023,$13.000.000,2023,21.000,Color not found,Fuel type not found
Suzuki Gixxer Sf 250,$15.500.000,2024,9.300,Negro,Gasolina
Suzuki Gixxer Sf 250,$15.000.000,2023,7.400,Azul,Gasolina
Suzuki Gixxer 250,$11.890.000,2023,26.000,Negro,Gasolina y gas
Gixxer 250,$11.500.000,2022,36.000,Negro,Gasolina
Moto Suzuki Gixxer 250 Modelo 2024,$13.800.000,2024,11.850,Azul,Gasolina y gas
Suzuki Gixxer 150 2021,$7.890.000,2021,14.500,Negro,Gasolina
Suzuki Gixxer 250 Mod 2023,$12.500.000,2023,10.700,Negro,Gasolina y gas
Suzuki Gixxer 150 Fi Abs,$8.400.000,2022,25.000,Negro,Gasolina
Gixxer 250 Fs,$11.500.000,2020,36.000,Azul,Gasolina
Gixxer 250 Modelo 2023,$12.500.000,2023,20.000,Negro,Gasolina
Suzuki Gixxer 250 2020,$10.000.000,2020,36.000,Negro,Gasolina
 ,0,0,0,,
Suzuki Gixxer 250 Modelo 2020,$8.500.000,2020,1,Negro,Gasolina
Suzuki Gixxer 150 Modelo 2020,$6.800.000,2020,42.000,Azul,Gasolina
Gixxer 250,$13.500.000,2024,12.000,Negro,Fuel type not found
Suzuki Gixxer 250,$11.400.000,2022,31.500,Negro,Gasolina
Suzuki Gixxer Naked,$11.500.000,2021,18.500,Azul,Gasolina
Suzuki Gixxer Sf 250,$14.900.000,2024,12.390,Negro,Gasolina
Suzuki Gixxer 150,$6.200.000,2018,42.000,Negro,Gasolina
Suzuki  Gixxer Sf250,$13.000.000,2023,9.120,Color not found,Fuel type not found
Suzuki  Gixxer Sf 250,$13.200.000,2022,25.000,Color not found,Fuel type not found
 ,0,0,0,,
Suzuki  Gixxer 150 2021,$6.500.000,2021,39.000,Negro,Gasolina
Suzuki Gixxer 150 2020,$6.700.000,2020,42.000,Blanco,Fuel type not found
Suzuki Gixxer 250 Sf,$13.500.000,2022,11.200,Azul,Gasolina
Suzuki Gixxer 250,$12.500.000,2022,22.500,Negro,Gasolina
Suzuki Gixxer 250 - 2024,$14.500.000,2024,5.000,Negro,Gasolina
Susuki Gixxer Sf 150 Full Inyección 2020,$7.000.000,2020,42.000,Negro,Gasolina
Gixxer 250,$11.900.000,2021,55.000,Negro,Gasolina
 ,0,0,0,,
Suzuki Gixer 250,$11.200.000,2021,24.000,Azul,Gasolina
Suzuki Gixxer 250 2021,$10.490.000,2021,27.500,Negro,Gasolina
Gixxer 250 Sf,$13.500.000,2024,20.000,Negro,Gasolina
Gixxer 250 Mod 2020,$9.000.000,2020,56.000,Negro,Gasolina y gas
Suzuki 2022,$11.700.000,2022,23.000,Color not found,Fuel type not found
Susuki Gixxer 150 Modelo 2023 Papeles A Mayo De 2025,$8.500.000,2023,12.200,Negro,Gasolina
Gixxer 250  Suzuki 2021,$12.300.000,2021,23.800,Color not found,Fuel type not found
Susuky  2019,$6.000.000,2019,30.000,Color not found,Fuel type not found
Suzuki Gixxer 250,$11.599.000,2021,15.000,Negro,Gasolina
Suzuki Gixxer 250 ,$11.000.000,2023,19.000,Azul,Gasolina
Suzuki Gixxer 150 Abs,$9.800.000,2023,11.100,Color not found,Fuel type not found
Suzuki 2023,$13.000.000,2023,21.000,Color not found,Fuel type not found
Suzuki Gixxer 250 2023,$11.900.000,2023,13.800,Negro,Gasolina
Suzuki Gixxer 250 Modelo 2023,$12.000.000,2023,17.200,Negro,Gasolina
Suzuki Gixxer,$14.000.000,2024,10.000,Negro,Gasolina
Suzuki Gixxer 250,$11.000.000,2020,60.000,Negro,Gasolina
Suzuki Gixxer 250,$12.600.000,2023,10.000,Negro,Gasolina
Susuki Gixxer Sf,$6.500.000,2017,35.000,Azul,Gasolina
Gixer 250,$14.200.000,2025,3.000,Azul,Gasolina y gas
Gixxer 250 2024,$14.500.000,2024,8.700,Negro,Gasolina
Suzuki Gixxer 250,$12.500.000,2021,52.600,Negro,Gasolina
Gixxer 150 Modelo 2020,$7.500.000,2020,46.000,Negro,Gasolina
Suzuki Gixxer 250 2023 Precio Negociable**,$11.000.000,2023,27.000,Negro,Fuel type not found
Suzuki  Gixxer 2019,$5.000.000,2019,56.000,Color not found,Fuel type not found
Suzuki  2024 ,$12.800.000,2024,7.900,Color not found,Fuel type not found
 ,0,0,0,,
Suzuki Gixxer 250,$12.700.000,2023,5.750,Azul,Gasolina
Suzuki Gixxer Sf Modelo 2024,$14.000.000,2024,8.000,Azul,Gasolina
Susuki Gixxer 250,$10.000.000,2020,26.900,Negro,Híbrido
Suzuki  Gixxer  250 Mod 2023,$12.000.000,2023,11.800,Negro,Gasolina
 ,0,0,0,,
Suzuki Gixxer 150  Modelo 2023  32mil Km Whatsapp 3142405065,$8.800.000,2023,32.000,Negro,Gasolina
 ,0,0,0,,
Suzuki Gixxer 250 - 2025h,$15.000.000,2025,5.600,Azul,Fuel type not found
Suzuki Gizzer Sf 250,$13.500.000,2022,32.900,Negro,Gasolina
Motocicleta. Gixxer 150,$6.000.000,2020,82.000,Negro,Gasolina
Gixxer 250 2020,$12.000.000,2020,56.888,Negro,Gasolina
Susuki,$11.300.000,2023,30.000,Negro,Gasolina
Suzuki Gixxer Sf,$13.000.000,2023,15.000,Color not found,Fuel type not found
Suzuki Grixxer,$13.500.000,2021,4.800,Color not found,Fuel type not found
Suzuki  Gixxer,$13.500.000,2023,23.000,Color not found,Fuel type not found
Suzuki Gixxer 250 2023,$11.500.000,2023,27.000,Negro,Gasolina
Gixxer 250,$11.000.000,2021,27.000,Azul,Gasolina
Suzuky Gixxer 250 Modelo 2022 18780 Km,$12.000.000,2022,18.780,Negro,Gasolina
Susuki Gixxer 250,$13.500.000,2023,11.500,Negro,Gasolina
Suzuki Gixxer Sf 250 - 2023,$14.400.000,2023,9.000,Negro,Gasolina
"Moto Gixxer 250, Modelo 2024",$14.500.000,2024,14.000,Negro,Gasolina
Suzuki Gixxer Sf 150,$10.000.000,2024,4.500,Negro,Gasolina
Moto Suzuki Gixxer 250cc,$11.000.000,2024,38.861,Negro,Gasolina
 ,0,0,0,,
Susuki Gixxer 250,$13.500.000,2023,23.500,Negro,Gasolina
